Student_id,Aptitude,English,Quantitative,Analytical,Domain,Computer Fundamental,Coding,Score/700,10 th %,12 th %,Placement Status
S_1,69,87,53,67,30,20,60,386,93,90,1
S_2,56,60,40,67,45,47,56,371,96,93,1
S_3,64,73,40,80,40,40,0,337,93,89,1
S_4,64,87,40,67,30,27,0,315,95,91,1
S_5,67,87,53,60,60,40,0,367,94,85,1
S_6,60,67,60,53,70,33,20,363,90,81,1
S_7,64,73,67,53,75,27,0,359,79,85,1
S_8,60,67,40,73,55,40,0,335,83,89,1
S_9,58,53,67,53,40,53,20,344,86,81,0
S_10,60,60,40,80,50,33,0,323,90,79,1
S_11,56,53,40,73,60,53,20,355,79,77,0
S_12,56,87,27,53,45,40,20,328,76,86,1
S_13,53,53,53,53,60,60,20,352,77,76,0
S_14,56,60,40,67,65,33,0,321,92,94,1
S_15,58,60,53,60,55,40,20,346,94,78,1
S_16,58,80,33,60,35,27,0,293,86,83,1
S_17,60,47,73,60,25,40,0,305,83,77,0
S_18,56,60,33,73,25,33,20,300,83,78,1
S_19,58,67,33,73,30,33,0,294,90,78,1
S_20,53,67,40,53,50,33,0,296,82,93,1
S_21,56,53,60,53,35,53,20,330,80,76,0
S_22,60,73,40,67,40,33,0,313,82,81,0
S_23,51,67,40,47,50,53,0,308,87,79,1
S_24,47,33,40,67,65,27,60,339,87,80,0
S_25,49,47,27,73,50,53,20,319,79,80,0
S_26,58,67,40,67,60,73,92,457,90,78,1
S_27,67,80,53,67,35,53,0,355,79,76,0
S_28,56,60,47,60,45,53,60,381,82,85,1
S_29,60,80,53,47,10,33,88,371,85,77,0
S_30,73,80,67,73,45,40,20,398,83,76,0
S_31,64,80,47,67,45,40,0,343,93,90,1
S_32,69,67,93,47,65,40,20,401,81,89,1
S_33,67,60,47,93,35,60,0,362,96,75,1
S_34,60,60,47,73,70,27,0,337,92,78,1
S_35,60,60,67,53,45,53,20,358,84,90,1
S_36,53,60,33,67,35,53,100,401,92,76,1
S_37,58,67,53,53,35,27,0,293,96,92,1
S_38,53,60,47,53,35,27,20,295,88,84,1
S_39,51,67,40,47,30,27,0,262,77,76,1
S_40,58,67,67,40,35,40,20,327,79,76,0
S_41,51,67,40,47,40,20,0,265,83,79,1
S_42,51,53,40,60,50,27,0,281,75,78,0
S_43,62,67,73,47,30,20,0,299,95,78,1
S_44,53,80,33,47,40,47,20,320,81,75,0
S_45,53,60,40,60,30,20,0,263,82,79,1
S_46,49,53,40,53,25,40,36,296,75,80,0
S_47,47,60,20,60,35,27,20,269,83,78,1
S_48,49,53,40,53,35,40,0,270,80,78,0
S_49,53,67,33,60,40,40,0,293,84,85,1
S_50,49,60,40,47,50,40,0,286,96,78,1
S_51,47,60,27,53,75,47,0,309,93,87,1
S_52,60,80,40,60,30,20,0,290,90,92,1
S_53,49,60,27,60,30,33,0,259,75,92,1
S_54,47,80,33,27,35,33,0,255,83,81,0
S_55,58,87,47,40,35,20,0,287,83,76,0
S_56,53,67,33,60,65,20,20,318,85,87,1
S_57,60,73,40,67,20,20,0,280,75,80,0
S_58,56,60,33,73,35,20,0,277,86,75,1
S_59,51,60,27,67,45,60,0,310,76,94,1
S_60,53,73,33,53,30,20,0,262,84,75,1
S_61,64,60,87,47,65,47,100,470,92,83,1
S_62,67,60,67,73,50,53,0,370,82,75,1
S_63,44,60,27,47,20,40,0,238,86,84,1
S_64,58,60,33,80,35,53,0,319,86,79,1
S_65,58,73,47,53,30,40,20,321,80,76,1
S_66,67,67,53,80,15,27,0,309,93,76,1
S_67,62,73,60,53,30,47,0,325,83,77,1
S_68,56,67,27,73,45,33,0,301,87,84,1
S_69,62,60,80,47,35,27,0,311,89,94,1
S_70,56,60,33,73,40,40,0,302,89,89,1
S_71,60,80,20,80,35,33,0,308,79,81,0
S_72,60,67,47,67,30,27,0,298,83,93,1
S_73,71,80,47,87,50,47,60,442,89,94,1
S_74,62,73,53,60,40,67,98,453,77,78,1
S_75,78,73,73,87,45,53,100,509,91,76,1
S_76,64,67,60,67,60,87,96,501,84,83,1
S_77,69,73,53,80,45,60,96,476,86,91,1
S_78,80,80,80,80,55,33,52,460,78,79,0
S_79,78,67,73,93,40,60,60,471,92,88,1
S_80,60,67,47,67,65,73,100,479,88,81,1
S_81,64,73,47,73,50,53,100,460,92,77,1
S_82,58,67,40,67,75,47,100,454,76,75,1
S_83,60,67,40,73,60,60,100,460,96,79,1
S_84,67,73,60,67,70,33,60,430,79,85,1
S_85,67,80,60,60,55,60,60,442,81,91,1
S_86,64,73,53,67,35,53,96,441,85,82,1
S_87,58,67,47,60,55,47,92,426,77,87,1
S_88,60,53,73,53,50,60,100,449,79,80,0
S_89,58,73,40,60,60,53,96,440,79,89,1
S_90,53,60,33,67,40,60,92,405,90,89,1
S_91,62,87,33,67,20,40,56,365,78,78,0
S_92,53,53,33,73,55,53,98,418,82,80,1
S_93,69,80,80,47,55,60,20,411,79,77,0
S_94,53,80,47,33,45,60,100,418,78,76,0
S_95,56,47,47,73,35,53,100,411,85,90,1
S_96,60,60,73,47,50,53,56,399,87,79,0
S_97,71,67,73,73,60,33,94,471,94,86,1
S_98,67,80,60,60,65,60,60,452,95,83,1
S_99,69,80,80,47,60,80,20,436,82,77,0
S_100,58,53,53,67,25,53,60,369,93,88,1
S_101,64,73,60,60,50,40,20,367,87,81,0
S_102,62,73,33,80,40,20,0,308,86,79,0
S_103,53,53,33,73,25,40,60,337,93,80,1
S_104,22,20,20,27,40,33,0,162,79,81,0
S_105,64,93,40,60,60,47,60,424,79,86,1
S_106,62,67,60,60,40,53,94,436,77,86,1
S_107,64,80,40,73,50,60,57,424,81,79,0
S_108,62,67,53,67,55,67,60,431,90,83,1
S_109,60,80,33,67,60,27,20,347,81,77,1
S_110,51,60,47,47,30,60,76,371,80,88,1
S_111,53,73,33,53,35,60,20,327,81,80,1
S_112,56,67,40,60,55,33,0,311,77,84,1
S_113,58,47,53,73,30,40,0,301,82,80,0
S_114,51,73,27,53,40,33,0,277,87,81,1
S_115,64,67,47,80,45,33,0,336,81,76,0
S_116,58,60,67,47,30,53,0,315,77,80,0
S_117,47,80,7,53,55,27,20,289,81,79,0
S_118,47,60,40,40,35,40,0,262,86,78,0
S_119,62,60,47,80,25,47,0,321,77,79,0
S_120,56,60,47,60,25,53,60,361,88,90,1
S_121,29,20,33,33,25,13,0,153,87,81,0
S_122,75,85,60,80,13,20,11,344,92,90,1
S_123,68,85,50,70,33,60,0,366,94,82,1
S_124,67,60,65,75,47,60,0,374,78,89,1
S_125,57,55,45,70,43,40,0,310,76,89,1
S_126,53,60,35,65,40,60,42,355,89,77,1
S_127,53,60,40,60,17,33,0,263,94,80,1
S_128,52,55,70,30,60,40,0,307,75,76,0
S_129,50,50,50,50,40,53,0,293,91,86,1
S_130,50,50,35,65,20,67,11,298,93,77,1
S_131,43,40,40,50,37,13,0,223,83,79,0
S_132,70,75,45,90,43,53,0,376,96,86,1
S_133,60,65,60,55,40,40,11,331,94,76,1
S_134,60,65,40,75,33,40,0,313,93,89,1
S_135,57,40,65,65,37,33,11,308,80,78,0
S_136,57,80,15,75,43,7,0,277,82,82,1
S_137,55,60,30,75,33,40,10,303,91,80,1
S_138,55,55,35,75,20,33,11,284,94,75,1
S_139,55,60,55,50,30,33,0,283,94,93,1
